timestamp,pck,glck,tpt,pck_lag1,pck_rm30,pck_rsd30,pck_rskew30,pck_rkurt30,pck_slope3,glck_diff1,glck_rm5,tpt_lag5,tpt_lag10,tpt_lag20,tpt_rm120,pck_glck_diff,pck_tpt_diff
2017-02-01 02:02:12,1651830.0,1564183.0,119.0944,1643424.0,1630815.0,15726.185996610875,-9.85784272499373e-11,-1.1999999360307143,8406.0,0.0,1564183.0,119.0944,,,119.0944,87647.0,1651710.9056
2017-02-01 02:02:13,1660236.0,1564183.0,119.0945,1651830.0,1635018.0,18159.035436938826,7.855774067445129e-11,-1.200000044213605,8406.0,0.0,1564183.0,119.0944,,,119.09441428571428,96053.0,1660116.9055
2017-02-01 02:02:14,1668642.0,1564183.0,119.0945,1660236.0,1639221.0,20590.410777835394,2.2692325438717737e-12,-1.1999999974173823,8406.0,0.0,1564183.0,119.0944,,,119.094425,104459.0,1668522.9055
2017-02-01 02:02:15,1677048.0,1564183.0,119.0945,1668642.0,1643424.0,23020.77909194213,0.0,-1.1999999968029456,8406.0,0.0,1564183.0,119.0944,,,119.09443333333333,112865.0,1676928.9055
2017-02-01 02:02:16,1685454.0,1564183.0,119.0945,1677048.0,1647627.0,25450.428876543516,-2.097884310438644e-11,-1.1999999961941634,8406.0,0.0,1564183.0,119.0944,,,119.09443999999999,121271.0,1685334.9055
2017-02-01 02:02:17,1693860.0,1564183.0,119.0945,1685454.0,1651830.0,27879.547987727492,-1.2904732634824831e-11,-1.1999999978140943,8406.0,0.0,1564183.0,119.0944,119.0944,,119.09444545454545,129677.0,1693740.9055
2017-02-01 02:02:18,1702266.0,1564183.0,119.0945,1693860.0,1656033.0,30308.264021550294,6.44179928164033e-12,-1.2000000001543187,8406.0,0.0,1564183.0,119.0945,119.0944,,119.09445,138083.0,1702146.9055
2017-02-01 02:02:19,1710672.0,1564183.0,119.0945,1702266.0,1660236.0,32736.666690425278,1.0509980040309355e-11,-1.2000000035855998,8406.0,0.0,1564183.0,119.0945,119.0944,,119.09445384615384,146489.0,1710552.9055
2017-02-01 02:02:20,1719078.0,1564183.0,119.0945,1710672.0,1664439.0,35164.820915227196,2.2277200879314106e-11,-1.2000000066197651,8406.0,0.0,1564183.0,119.0945,119.0944,,119.09445714285714,154895.0,1718958.9055
2017-02-01 02:02:21,1727484.0,1564183.0,119.0945,1719078.0,1668642.0,37592.774837726465,2.5317853060609227e-11,-1.2000000057347704,8406.0,0.0,1564183.0,119.0945,119.0944,,119.09446,163301.0,1727364.9055
